RDF,Out_Degree,In_Degree,Degree
Q6636,4,8,12
Q6641,7,0,7
Q6649,6,1,7
Q6651,5,2,7
Q6654,18,22,40
Q6655,1,374,375
Q6661,2,0,2
Q6664,4,1,5
Q6683,8,8,16
Q6690,5,0,5
Q6691,21,8,29
Q6694,72,5,77
Q6703,4,2,6
Q6711,35,1,36
Q6721,3,1,4
Q6722,60,1,61
Q6723,1,334,335
Q6760,1,87,88
Q6761,11,2,13
Q6767,4,1,5
Q6773,1,7,8
Q6779,1,14,15
Q6806,2,18,20
Q6828,2,51,53
Q6882,31,10,41
Q6906,1,9,10
Q6927,2,17,19
Q6939,1,6,7
Q6940,12,11,23
Q6955,2,8,10
Q6985,1,65,66
Q6986,17,0,17
Q6999,5,1,6
Q7003,14,1,15
Q7015,2,10,12
Q7026,12,26,38
Q7041,2,52,54
Q7048,5,6,11
Q7056,11,28,39
Q7066,14,194,208
Q7069,1,17,18
Q7085,63,4,67
Q7094,8,3,11
Q7105,1,19,20
Q7108,7,0,7
Q7118,1,9,10
Q7150,8,1,9
Q7156,24,7,31
Q7159,12,54,66
Q7163,10,38,48
Q7164,14,4,18
Q7167,0,5,5
Q7172,16,34,50
Q7174,11,7,18
Q7184,15,63,78
Q7188,0,5,5
Q7191,14,12,26
Q7199,23,9,32
Q7200,52,4,56
Q7204,31,30,61
Q7207,26,16,42
Q7233,5,2,7
Q7240,12,2,14
Q7241,41,2,43
Q7243,63,6,69
Q7245,39,3,42
Q7251,25,1,26
Q7269,4,39,43
Q7270,6,118,124
Q7272,12,3,15
Q7275,6,33,39
Q7278,11,46,57
Q7283,2,54,56
Q7291,6,7,13
Q7294,47,0,47
Q7302,52,0,52
Q7310,5,1,6
Q7312,32,0,32
Q7314,50,1,51
Q7315,45,5,50
Q7317,40,1,41
Q7318,44,93,137
Q7320,7,6,13
Q7322,27,12,39
Q7325,26,74,100
Q7346,40,1,41
Q7349,35,2,37
Q7351,35,0,35
Q7358,9,3,12
Q7366,9,6,15
Q7371,46,6,52
Q7374,54,51,105
Q7390,0,5,5
Q7397,74,4,78
Q7411,18,69,87
Q7414,25,72,97
Q7416,41,2,43
Q7432,5,478,483
Q7516,14,5,19
Q7542,72,13,85
Q7546,36,11,47
Q7553,0,6,6
Q7590,0,5,5
Q7604,60,1,61
Q7707,8,6,14
Q7718,3,0,3
Q7724,43,3,46
Q7735,5,4,9
Q7737,27,195,222
Q7748,12,12,24
Q7749,3,44,47
Q7754,4,5,9
Q7768,22,23,45
Q7779,14,26,40
Q7785,6,64,70
Q7795,8,30,38
Q7802,13,1,14
Q7804,9,8,17
Q7809,16,203,219
Q7817,25,193,218
Q7825,8,160,168
Q7835,17,3,20
Q7838,11,15,26
Q7842,14,1,15
Q7850,7,68,75
Q7860,7,0,7
Q7867,6,18,24
Q7873,13,0,13
Q7880,14,3,17
Q7889,26,3,29
Q7903,9,6,15
Q7913,13,28,41
