Title,Description,MDI,URL,Alias,RDF
card game,game using playing cards as the primary device,/m/01mtt,https://en.wikipedia.org/wiki/Card_game,cards|card games|games played with cards,Q142714
Topanga,"census-designated place in Los Angeles County, California, United States",/m/04bd6d,"https://en.wikipedia.org/wiki/Topanga,_California","Topanga, California|Topanga, CA",Q144792
One Direction,English-Irish boy band,/m/0fqqnpw,https://en.wikipedia.org/wiki/One_Direction,1D|1 Direction,Q146027
capsule,"type of simple, dry rarely fleshy, dehiscent fruit",/m/01t3c0,https://en.wikipedia.org/wiki/Capsule_(fruit),,Q147768
Margraviate of Brandenburg,Holy Roman Empire principality (1157–1806),/m/026w5dd,https://en.wikipedia.org/wiki/Margraviate_of_Brandenburg,the House of Brandenburg,Q148499
Republic of Florence,city-state on the Appenine Peninsula between 1115–1532/69,/m/0642wmq,https://en.wikipedia.org/wiki/Republic_of_Florence,Repubblica Fiorentina|Florentine Republic|Repubblica di Firenze,Q148540
limited liability company,US form of a private limited company,/m/01prdc,https://en.wikipedia.org/wiki/Limited_liability_company,LLC|L.L.C.|Sociedad de responsabilidad limitada|S. de R. L.,Q149789
voivodeship of Poland,highest-level administrative division (province) in Poland,/m/0bdbp,https://en.wikipedia.org/wiki/Voivodeships_of_Poland,,Q150093
Berlin Olympic Stadium,"sports stadium at Olympiapark Berlin in Berlin, Germany",/m/03js7d,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),Olympic Stadium|Olympiastadion,Q151374
concept,"semantic unit understood in different ways, e.g. as mental representation, ability or abstract object (philosophy)",/m/0203b,https://en.wikipedia.org/wiki/Concept,concepts,Q151885
Neutral Moresnet,former condominium between what is now Belgium and Germany,/m/0fvq3,https://en.wikipedia.org/wiki/Neutral_Moresnet,Moresnet,Q151938
ash,"waste product of fire; the end product of incomplete combustion; the solid remains of fires; specifically, it refers to all non-aqueous, non-gaseous residues that remain after something is burned",/m/04zjxcz,https://en.wikipedia.org/wiki/Ash,ashes,Q152079
